Do What You Want,10,1027,160,PEAK,ANOTHER
Don't be afraid myself,10,1155,165,PEAK,ANOTHER
DXY!,10,1158,148,PEAK,ANOTHER
e-motion 2003 -romantic extra-,10,1001,145,PEAK,ANOTHER
EURO-ROMANCE,10,1056,161,PEAK,ANOTHER
FEEL IT,10,1013,180,PEAK,ANOTHER
Fly Above (Vicissitude Remix),10,1200,180,PEAK,ANOTHER
Freeway Shuffle,10,949,145,PEAK,ANOTHER
Geirskogul,10,1128,177,PEAK,ANOTHER
HYPER EUROBEAT (2DX style),10,990,152,PEAK,ANOTHER
Infinite cave,10,1044,190,PEAK,ANOTHER
Jack,10,1086,116,PEAK,ANOTHER
Karma,10,925,222,PEAK,ANOTHER
Keep it-秋葉工房mix-,10,942,166,PEAK,ANOTHER
La dolce primavera,10,1098,220,PEAK,ANOTHER
Leaving...,10,1116,145,PEAK,ANOTHER
LETHEBOLG ～双神威に斬り咲けり～,10,1111,165,PEAK,ANOTHER
Love Magic,10,991,170,PEAK,ANOTHER
lower world,10,1144,155,PEAK,ANOTHER
Lucky Days,10,1111,160,PEAK,ANOTHER
madrugada,10,945,125,PEAK,ANOTHER
Miracle 5ympho X,10,1325,210,PEAK,ANOTHER
Monkey Dance '09,10,1142,155,PEAK,ANOTHER
Musik LoverZ,10,1268,150,PEAK,ANOTHER
Narcissus At Oasis,10,838,170,PEAK,ANOTHER
NEW GENERATION -もう、お前しか見えない-,10,1342,165,PEAK,ANOTHER
Nowhere,10,1100,140,PEAK,ANOTHER
Odin,10,1039,160-180,PEAK,ANOTHER
Party Starter,10,1170,154,PEAK,ANOTHER
PHOTONGENIC,10,1162,175,PEAK,ANOTHER
POINT ZERO,10,1068,188,PEAK,ANOTHER
Rainbow after snow,10,1090,179,PEAK,ANOTHER
Regulus,10,881,120-128,PEAK,ANOTHER
RISE,10,951,182,PEAK,ANOTHER
SA.YO.NA.RA. SUPER STAR,10,868,85-170,PEAK,ANOTHER
Sephirot,10,1193,154,PEAK,ANOTHER
Set U Free feat. Kanae Asaba,10,1290,140,PEAK,ANOTHER
She is my wife,10,1002,85-170,PEAK,ANOTHER
Silly Love,10,1061,124-153,PEAK,ANOTHER
SNOW,10,1038,180,PEAK,ANOTHER
So Fabulous !!,10,1191,149,PEAK,ANOTHER
SOMETHING WONDERFUL,10,1003,150,PEAK,ANOTHER
Space Time,10,1114,143,PEAK,ANOTHER
SPEED ROCKER,10,1175,145,PEAK,ANOTHER
Sphere,10,1111,160,PEAK,ANOTHER
Star Trail,10,942,148,PEAK,ANOTHER
Static State,10,1218,138,PEAK,ANOTHER
sync,10,1204,167,PEAK,ANOTHER
THANK YOU FOR PLAYING,10,1090,45-170,PEAK,ANOTHER
That Feeling,10,973,150,PEAK,ANOTHER
THE DOOR INTO RAINBOW,10,1123,155,PEAK,ANOTHER
The Hope of Tomorrow,10,992,144,PEAK,ANOTHER
This is Love,10,1249,175,PEAK,ANOTHER
Tori-no-kimochi,10,1030,132,PEAK,ANOTHER
traces,10,1083,152,PEAK,ANOTHER
TRIP MACHINE PhoeniX,10,935,80-160,PEAK,ANOTHER
Twelfth Style,10,1033,160,PEAK,ANOTHER
VIBRΛ,10,941,176,PEAK,ANOTHER
Votum stellarum,10,1017,136-147,PEAK,ANOTHER
Wonderful Escape,10,1052,165,PEAK,ANOTHER
Wuv U,10,861,173,PEAK,ANOTHER
ギョギョっと人魚 爆婚ブライダル,10,1209,169,PEAK,ANOTHER
グラナダの風,10,954,130,PEAK,ANOTHER
クルクル☆ラブ～Opioid Peptide MIX～,10,1144,185,PEAK,ANOTHER
罪と罰,10,1096,144,PEAK,ANOTHER
十六夜セツナ,10,1132,160,PEAK,ANOTHER
"水上の提督(Short mix from ""幻想水滸伝V"")",10,1073,152,PEAK,ANOTHER
恋はどう？モロ◎波動OK☆方程式!!,10,1247,128,PEAK,ANOTHER
100% minimoo-G,11,903,252,PEAK,ANOTHER
24th Century BOY,11,1456,168,PEAK,ANOTHER
50th Memorial Songs -The BEMANI History-,11,1348,136,PEAK,ANOTHER
Abraxas,11,1241,165,PEAK,ANOTHER
AFRO KNUCKLE,11,1226,145,PEAK,ANOTHER
ALL MY TURN -このターンに、オレの全てを賭ける-,11,1314,170,PEAK,ANOTHER
Angelic Jelly,11,1419,200,PEAK,ANOTHER
Around the Future,11,1329,162,PEAK,ANOTHER
Aurora,11,1280,181,PEAK,ANOTHER
Back Spin Sweeper,11,1156,155,PEAK,ANOTHER
Battleground,11,1361,165,PEAK,ANOTHER
Be quiet,11,1114,150,PEAK,ANOTHER
Beast mode,11,1395,195,PEAK,ANOTHER
Beastie Starter,11,1121,190,PEAK,ANOTHER
Blame,11,980,155,PEAK,ANOTHER
"Blind Justice ～Torn souls, Hurt Faiths ～",11,1245,137-165,PEAK,ANOTHER
BLOCKS,11,1000,141,PEAK,ANOTHER
Blue Rain,11,1149,144,PEAK,ANOTHER
BREAK OVER,11,1210,106-150,PEAK,ANOTHER
Broadbanded,11,1019,140,PEAK,ANOTHER
CaptivAte2～覚醒～,11,1221,175,PEAK,ANOTHER
chaos eater -IIDX edition-,11,1328,210,PEAK,ANOTHER
Cleopatrysm,11,1326,190,PEAK,ANOTHER
Cosmic Cat,11,1166,160,PEAK,ANOTHER
Critical Crystal,11,1495,191,PEAK,ANOTHER
Cyber True Color,11,1207,150,PEAK,ANOTHER
D.C.fish,11,1178,155,PEAK,ANOTHER
Debtty Daddy,11,1371,155,PEAK,ANOTHER
DESIRE,11,1446,175,PEAK,ANOTHER
diagram,11,1461,112,PEAK,ANOTHER
Do it!! Do it!!,11,987,300,PEAK,ANOTHER
DROP,11,1337,152,PEAK,ANOTHER
Eine Haube ～聖地の果てにあるもの～,11,1321,170,PEAK,ANOTHER
Farewell to Marrakech,11,1162,144,PEAK,ANOTHER
FLOWER,11,1460,173,PEAK,ANOTHER
Funny shuffle,11,1199,115,PEAK,ANOTHER
Ganymede,11,1199,72-82,PEAK,ANOTHER
GHOST,11,1403,150-180,PEAK,ANOTHER
Giudecca,11,1381,155,PEAK,ANOTHER
GOBBLE,11,866,160,PEAK,ANOTHER
Harmony and Lovely,11,1127,135,PEAK,ANOTHER
Holic,11,880,155,PEAK,ANOTHER
Insane Techniques,11,1263,146,PEAK,ANOTHER
Into The Madness,11,1286,155,PEAK,ANOTHER
INVISIBLE STRIX,11,1331,184,PEAK,ANOTHER
kors k's How to make OTOGE CORE,11,1180,124-190,PEAK,ANOTHER
m1dy Deluxe,11,1342,205,PEAK,ANOTHER
MENTAL MELTDOWN,11,1443,145,PEAK,ANOTHER
Nasty Techniques,11,1338,150,PEAK,ANOTHER
NEMESIS,11,973,164,PEAK,ANOTHER
"Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)",11,1387,180,PEAK,ANOTHER
Night sky,11,1491,192,PEAK,ANOTHER
Pharaoh,11,1242,180,PEAK,ANOTHER
Programmed Sun,11,1309,144,PEAK,ANOTHER
Programmed World,11,1161,153,PEAK,ANOTHER
quasar,11,1161,155,PEAK,ANOTHER
Queen Kaguya,11,1330,200,PEAK,ANOTHER
R5,11,889,180,PEAK,ANOTHER
rainbow flyer,11,1081,148,PEAK,ANOTHER
rainbow guitar weeps,11,1406,156,PEAK,ANOTHER
RESONATE 1794,11,951,160,PEAK,ANOTHER
Rising in the Sun(original mix),11,1202,172,PEAK,ANOTHER
RISLIM -Remix-,11,959,132,PEAK,ANOTHER
S!ck,11,1373,177,PEAK,ANOTHER
Sakura Mirage,11,1190,187,PEAK,ANOTHER
Sarutobi Champion is 拙者,11,1153,130-195,PEAK,ANOTHER
SCHWARZSCHILD FIELD,11,1232,150,PEAK,ANOTHER
Second Heaven,11,1069,149,PEAK,ANOTHER
Secret of Love,11,1019,162,PEAK,ANOTHER
Session 1 -Genesis-,11,1240,79-178,PEAK,ANOTHER
Spica,11,1167,128,PEAK,ANOTHER
STEEL NEEDLE,11,1269,205,PEAK,ANOTHER
The Dirty of Loudness,11,1327,165,PEAK,ANOTHER
THE LAST STRIKER,11,1327,185,PEAK,ANOTHER
tripping contact(teranoid&MC Natsack Remix),11,1258,187,PEAK,ANOTHER
Unicorn tail,11,1605,170,PEAK,ANOTHER
waxing and wanding,11,1457,191,PEAK,ANOTHER
Yum Yum Jelly,11,1204,180,PEAK,ANOTHER
ZED,11,1405,190,PEAK,ANOTHER
オールトの雲,11,1335,215,PEAK,ANOTHER
セロトニン,11,1194,150,PEAK,ANOTHER
合体せよ！ストロングイェーガー！！ (Ryu☆ remix),11,972,155,PEAK,ANOTHER
蛇神,11,1438,170,PEAK,ANOTHER
青の洞窟,11,1600,175,PEAK,ANOTHER
朝焼けから始まるボクらの小さな旅,11,1298,100-218,PEAK,ANOTHER
超青少年ノ為ノ超多幸ナ超古典的超舞曲,11,1350,150,PEAK,ANOTHER
牧神笛吹きて,11,1044,157,PEAK,ANOTHER
命の標本,11,1358,183,PEAK,ANOTHER
旅人リラン,11,1345,155,PEAK,ANOTHER
∀,12,1802,180,PEAK,ANOTHER
3y3s,12,1871,191,PEAK,ANOTHER
A,12,1260,93-191,PEAK,ANOTHER
AIR RAID FROM THA UNDAGROUND,12,1523,180,PEAK,LEGGENDARIA
ANCHOR,12,1835,180,PEAK,ANOTHER
Arca,12,1602,185,PEAK,ANOTHER
Bad Maniacs,12,1656,195,PEAK,ANOTHER
Binary Black Hole,12,2000,190,PEAK,ANOTHER
Blue Rain,12,1702,144,PEAK,LEGGENDARIA
Blue Spring Express,12,1728,172,PEAK,ANOTHER
Broken,12,1598,148,PEAK,ANOTHER
cinder,12,1601,216,PEAK,ANOTHER
Colorful Cookie,12,1773,180,PEAK,ANOTHER
Colors (radio edit),12,1258,150,PEAK,ANOTHER
Confiserie,12,1833,185,PEAK,ANOTHER
CONTRACT,12,1418,180,PEAK,LEGGENDARIA
Dances with Snow Fairies,12,1623,154,PEAK,ANOTHER
Dans la nuit de l'eternite,12,1830,244,PEAK,ANOTHER
Devil's Gear,12,1793,180,PEAK,ANOTHER
Devilz Staircase,12,1685,185,PEAK,ANOTHER
DIAVOLO,12,1745,160,PEAK,ANOTHER
DOMINION,12,1636,196,PEAK,ANOTHER
DORNWALD ～Junge～,12,1903,169,PEAK,ANOTHER
DUE TOMORROW,12,1073,100-400,PEAK,ANOTHER
EMERALDAS,12,1833,88-176,PEAK,ANOTHER
EROICA,12,2040,200,PEAK,ANOTHER
FAKE TIME,12,1231,200,PEAK,ANOTHER
Feel The Beat,12,2225,175,PEAK,LEGGENDARIA
FIRE FIRE,12,1405,150,PEAK,ANOTHER
Ganymede,12,1356,72-82,PEAK,LEGGENDARIA
gigadelic,12,1301,173,PEAK,ANOTHER
GiGaGaHell,12,1687,250,PEAK,ANOTHER
Go Ahead!!,12,1413,200,PEAK,ANOTHER
Go Beyond!!,12,1166,200,PEAK,ANOTHER
HADES,12,1601,155,PEAK,ANOTHER
HAERETICUS,12,1589,208,PEAK,ANOTHER
IMPLANTATION,12,1163,145,PEAK,ANOTHER
Inferno of Fomalhaut,12,1701,150,PEAK,ANOTHER
Innocent Walls,12,1446,155,PEAK,ANOTHER
KAMAITACHI,12,2000,165,PEAK,LEGGENDARIA
L.F.O,12,1687,180,PEAK,ANOTHER
Last Dance,12,1650,150,PEAK,ANOTHER
"Life Is A Game ft.DD""ナカタ""Metal",12,1775,195,PEAK,ANOTHER
Macho Monky,12,1588,150,PEAK,ANOTHER
Mare Nectaris,12,2094,256,PEAK,ANOTHER
MEGAERA,12,1790,206,PEAK,ANOTHER
Megalara Garuda,12,1543,180,PEAK,ANOTHER
MENDES,12,1831,168,PEAK,ANOTHER
moon_child,12,1300,130-160,PEAK,ANOTHER
neu,12,1999,199,PEAK,ANOTHER
NEW GENERATION -もう、お前しか見えない-,12,1895,165,PEAK,LEGGENDARIA
Nightmare before oversleep,12,1500,190,PEAK,ANOTHER
One More Lovely,12,1452,200,PEAK,ANOTHER
one or eight,12,1177,155,PEAK,ANOTHER
oratio,12,1493,162,PEAK,ANOTHER
Parvati,12,1467,205,PEAK,ANOTHER
PLEASE DON'T GO,12,1251,135,PEAK,ANOTHER
Proof of the existence,12,1675,170,PEAK,ANOTHER
Quakes,12,1654,190,PEAK,ANOTHER
QUANTUM TELEPORTATION,12,1845,152,PEAK,LEGGENDARIA
ra'am,12,1461,111-222,PEAK,ANOTHER
rage against usual,12,1527,152,PEAK,ANOTHER
Rave Patroller,12,1705,175,PEAK,ANOTHER
Ristaccia,12,1386,160,PEAK,ANOTHER
SCREAM SQUAD,12,1073,220,PEAK,ANOTHER
Scripted Connection⇒ A mix,12,1749,151,PEAK,LEGGENDARIA
Sense 2007,12,1517,140,PEAK,ANOTHER
Slipstream,12,1822,175,PEAK,ANOTHER
SOLID STATE SQUAD,12,1819,155,PEAK,ANOTHER
STEEL NEEDLE,12,1701,205,PEAK,LEGGENDARIA
StrayedCatz,12,1490,303,PEAK,ANOTHER
STULTI,12,1416,90-182,PEAK,ANOTHER
THE F∀UST,12,1851,170,PEAK,ANOTHER
THE PEERLESS UNDER HEAVEN,12,1818,170,PEAK,ANOTHER
Thor's Hammer,12,1641,150,PEAK,ANOTHER
Twelfth Style,12,1684,160,PEAK,LEGGENDARIA
V,12,1519,150,PEAK,ANOTHER
X-DEN,12,2220,200,PEAK,ANOTHER
Zirkfied,12,1968,210,PEAK,ANOTHER
お菓子の王国,12,2109,190,PEAK,ANOTHER
カゴノトリ～弐式～,12,1325,140,PEAK,ANOTHER
シムルグの目醒め,12,1822,190,PEAK,ANOTHER
たまゆら,12,1407,180,PEAK,ANOTHER
ピアノ協奏曲第1番”蠍火” (BlackY Remix),12,1926,160,PEAK,ANOTHER
狂イ咲ケ焔ノ華,12,1860,206,PEAK,ANOTHER
金野火織の金色提言,12,1630,225,PEAK,ANOTHER
子供の落書き帳,12,1395,180,PEAK,ANOTHER
紫陽花 -AZISAI-,12,1490,155,PEAK,ANOTHER
疾風迅雷,12,1824,180,PEAK,LEGGENDARIA
少年A,12,1449,90-192,PEAK,ANOTHER
少年は空を辿る,12,1729,140,PEAK,ANOTHER
雪月花,12,1287,151,PEAK,ANOTHER
嘆きの樹,12,2000,160,PEAK,ANOTHER
津軽雪,12,1953,160,PEAK,ANOTHER
東京神話,12,1505,196,PEAK,ANOTHER
廿,12,1731,120-160,PEAK,LEGGENDARIA
卑弥呼,12,2119,82-185,PEAK,ANOTHER
不沈艦CANDY,12,1682,188,PEAK,ANOTHER
魅惑のYUMMYスイーツ,12,1586,208,PEAK,ANOTHER
煉獄のエルフェリア,12,2000,183,PEAK,ANOTHER
閠槞彁の願い,12,1613,180,PEAK,ANOTHER
Pout,11,1317,170,PEAK,ANOTHER
